,,,,,
Set A,,USED,Set B,,USED
Who won six consecutive Wimbledon titles in the 1980's?,Martina Navratilova,FALSE,According to his business card what job did Al Capone do?,Sell Second Hand Furniture,FALSE
What Italian building material translates as baked earth?,Terracotta,FALSE,Which country did the USA buy the Virgin Islands from?,Denmark,FALSE
"Which US State links Buddy Holly, Lyndon Johnston & Janis Joplin?",Texas,FALSE,Who played the Scarecrow on the Wiz (All Black version of The Wizard of Oz)?,Michael Jackson,FALSE
Annie Mae Bullock became famous under which name (Full Name)?,Tina Turner,FALSE,Which film star has a statue of themself in Leicester Square?,Charlie Chaplin,FALSE
What is the US state capitol of New Jersey? ,Trenton,FALSE,What do you call a group of Jellyfish?,Bloom or Smack,FALSE
Who was the Roman goddess of the hearth?,Vesta,FALSE,"Franklin D Roosevelt became US President in 1932, who was President before him?",Herbert Hoover,FALSE
Viticulture is the growing of what plants?,Vines,FALSE,"Who wrote the book, The History of Mr Polly?",H G Wells,FALSE
Who sold Louisiana to the USA in 1803?,Napoleon,FALSE,What is the first day of Lent?,Ash Wednesday,FALSE
Which actress starred in the original King Kong in 1933 (Full Name)?,Fay Wray,FALSE,"Mr Chips (from Goodbye, Mr Chips) said goodbye to which fictional school?",Brookfield,FALSE
What's missing from ale that's included in beer?,Hops,FALSE,In the book/novel who buried the treasure on Treasure Island?,Captain Flint,FALSE
Until 1971 what was the name of Zaire?,Congo,FALSE,On which country's national flag is there a eagle & snake?,Mexico,FALSE
How many children did Queen Elizabeth II have when she became Queen?,Two,FALSE,What is a Sam Browne?,A Military Belt,FALSE
What is measured by an altimeter?,Altitude,FALSE,What is the chemical symbol of Tungsten?,W,FALSE
Who played Quentin Crisp in the TV show 'The Naked Civil Servant'?,John Hurt,FALSE,"Citius, Altius, Fortius is the motto of what organisation?",Olympics,FALSE
"It used to be called Formosa, what is it now called?",Taiwan,FALSE,In the nursery rhyme Friday's Child is what?,Loving & Giving,FALSE
Which city gives it's name to a rich fruit cake?,Dundee,FALSE,What colour is the bullseye on a Archery target?,Gold,FALSE
Which major river flows through Washington DC?,Potomac,FALSE,Name both rival gangs from West Side Story?,Sharks & Jets,FALSE
It's a tail lamp in the USA; what part of the car is this called in the UK? ,Rear Light,FALSE,"In Golf, what do Americans call an albatross?",Double Eagle,FALSE
Who sang “On the Good Ship Lollipop”?,Shirley Temple,FALSE,When is St Swithens Day?,15th July,FALSE
"What can be an island, a sweater or a potato?|",Jersey,FALSE,In France if you were served 'le miel' what are you eating?,Honey,FALSE
"What links Catalonia, Andalusia, Cantabria & Galicia?",Regions of Spain,FALSE,What did God create on the 5th day (both things)? ,Sea Creatures & Birds (generally),FALSE
What common legal item literally means under penalty?,Subpoena,FALSE,Who was the Roman God of Agriculture?,Saturn,FALSE
Which European country is divided into areas called Cantons?,Switzerland,FALSE,What was the nationality of Samuel Morse (inventor of the Morse Code)?,American,FALSE
Who created Tarzan in 1914? (Full Name) ,Edgar Rice Burroughs,FALSE,"In Greek Myths, who was the mother of Castor & Pollux?",Helen of Troy,FALSE
In 1901 who first transmitted radio signals across the Atlantic?,Marconi,FALSE,"If you were Hypermetropic, you have what?",Long Sightedness,FALSE
,,,,,
,,,,,
Set A,,USED,Set B,,USED
People who are Scotopic can do what?,See In The Dark,FALSE,What lives in a holt?,An Otter,FALSE
What is the name of the Paris Stock Exchange?,Bourse,FALSE,What is the world's tallest grass?,Bamboo,FALSE
In Japan what colour car is reserved for the Japanise Royal Family only?,Maroon,FALSE,"In Greek Mythology, who rowed the dead across the river Styx?",Charon,FALSE
Gangster George Nelson was better known by what nickname?,Baby Face,FALSE,Who invented/created the TV Show 'Doctor Who'?,Terry Nation,FALSE
What is a baby whale called?,Calf,FALSE,Who played Inspector Clouseau in 1968? (It's NOT Peter Sellers),Alan Arkin,FALSE
With which organ does a snake hear?,It's Tongue,FALSE,Where could you find the Lutine Bell?,Lloyds of London,FALSE
The Mona Lisa is painted on what natural materal? ,Wood,FALSE,Yabsuame is the Japanese version of what sport?,Archery,FALSE
Which bird turns it's head upside down to eat?,Flamingo,FALSE,Which Charles Dickens novel is considered an autobiography?,David Copperfield,FALSE
The Colossus of Rhodes was a statue of which Greek God?,Apollo,FALSE,What's the first name of the person who designed the Eiffel Tower?,Gustave Eiffel,FALSE
What colour is used in Turkey during a period of mourning?,Violet,FALSE,The Salk vaccine is used against what disease?,Polio,FALSE
"In the Winnie the Pooh stories, what is Kanga's baby called?",Roo,FALSE,"If you are born between June 23rd & July 23rd, what's your star sign?",Cancer,FALSE
What flower is the symbol of secrecy?,Rose,FALSE,"An alloy of Iron, Chromium & Nickel make what?",Stainless Steel,FALSE
"If you see a statue of a man on a horse & the horse is on two legs, how did the man die?",Killed In Battle,FALSE,What did the Victorians call servant regulators?,Alarm Clocks,FALSE
Who wrote the book/novel Dr Zhivago?,Boris Pasternak,FALSE,Which country first used the fountain pen?,Egypt,FALSE
Emerald is the birthstone for which month?,May,FALSE,What is the more popular name for the Londonderry Air?,Danny Boy,FALSE
What kind of fruit is a Kumquat?,A Small Orange,FALSE,Freyr was the Norse god of what?,Fertility,FALSE
Who was the Greek Goddess of Love?,Aphrodite,FALSE,A nilometer measures the rise and fall of what body of water?,Rivers (Used for The Nile),FALSE
Which playing card is called the Curse of Scotland?,Nine of Diamonds,FALSE,Where was the American naval base Pearl Harbour?,Hawaii,FALSE
Which country had the first women MP's in 1907? ,Finland,FALSE,At which sport were Margaret Court & Maria Bueno champions?,Tennis,FALSE
In 1969 what category was added to the Nobel Prizes?,Economics,FALSE,Where would you see a Seiche?,On Swiss Lakes (It's a wave),FALSE
"In the human body, where is your Occiput?",Back of The Head,FALSE,Which city stands on the River Spree & the River Havel?,Berlin,FALSE
Which film star was the first to appear on a postage stamp?,Grace Kelly,FALSE,In which Shakespeare Play do Rosencrantz & Guildenstern appear?,Hamlet,FALSE
What would you expect to find in a Binnacle?,A Ship Compass,FALSE,What is East Pakistan now called?,Bangladesh,FALSE
What was Britian called before it was Britian?,Albion,FALSE,What is a dactylogram?,A Fingerprint,FALSE
What part of a frog do you rub to hypnotise it?,It's belly,FALSE,"Which ocean liner, retired in 1967, became a hotel in Long Beach?",Queen Mary,FALSE
What would you do with a Edzell Blue?,Eat It - It's A Potato,FALSE,Which country accepted the blame for the Lockerbie disaster?,Libya,FALSE
"In the film My Fair Lady, what three counties were Eliza Dolittle taught to pronounce?","Hertford, Hereford & Hampshire",FALSE,Which Glasgow comedian is married to actress Pamela Stephenson?,Billy Connolly,FALSE
What is measured on the Gay-Lussac scale?,Alcohol Strength,FALSE,Catherine Zeta Jones won the Best Supporting Actress Oscar for which film?,Chicago,FALSE
"In the (Alfred) Hitchcock film 'The Trouble with Harry', what was the trouble?",He Was Dead,FALSE,The Llama is a relative of which African animal?,Camel,FALSE
What is produced in a Ginnery?,Cotton,FALSE,"What does the French word ""Pomme"" mean?",Apple,FALSE
What does a Drosomoter measure?,Dew,FALSE,In which country did the 1985 Heysel Stadium football tragedy happen?,Belgium,FALSE
"Shirley Bassey sang three James Bond theme songs, name those three films?","Goldfinger, Diam Fore, Moonraker",FALSE,Which sport takes place in a velodrome?,Cycling,FALSE
"What is the first name of Mr Toad, as in Toad from The WInd In The Willows?",Thaddeus,FALSE,What is the practice of formal handwriting called? ,Calligraphy,FALSE
Atephobia is the fear of what?,Imperfection,FALSE,In which city is the 1996 film Trainspotting set?,Edinburgh,FALSE
"Mitre, Dovetail, Jig & Hack are types of what?",Saw,FALSE,The warmth rating of what is measured in togs?,Duvets,FALSE
Who was the first Grand Prix driver to use a seat belt in 1967?,Jackie Stuart,FALSE,"Other than the ""Odyssey"", which work is Homer famed for?",The Iliad,FALSE
"The Science Fiction award 'The Hugo' is named after Hugo, who?",Gernsbeck,FALSE,How old was Henry VIII when he became king?,18,FALSE
If you had a Brassica Rapa what vegetable would you have?,A Turnip,FALSE,"Which folk singer wrote the song ""The Times They are A-Changin""?",Bob Dylan,FALSE
What is a motoway called in Germany?,Autobahn,FALSE,Which legendary sportsman lit the flame at the 1996 Atlanta Olympic Games?,Muhammad Ali,FALSE
How many tricks make up a grand slam in Bridge?,13,FALSE,What colour is paprika?,Red,FALSE
"In yachting, what are sheets?",Ropes,FALSE,In which country is the city of Dresden?,Germany,FALSE
"Which famous American drink was 'born' in Atlanta, Georgia in 1886?",Coca-Cola,FALSE,How many finger holes are there in a tenpin bowling ball?,Three,FALSE
What is the zodiac sign of the goat?,Capricorn,FALSE,Which part of the mint plant is used to make mint sauce?,Leaves,FALSE
Who created the children's book/novel Swallows and Amazons?,Arthur Ransome,FALSE,Which Falls are on the Canadian/US border?,Niagara,FALSE
What is a billabong?,A Creek,FALSE,What does the letter R stand for in URL?,Resource,FALSE
Which magazine did Hugh Hefner found?,Playboy,FALSE,What name is given to a starter dish of sliced raw vegetables?,Crudites,FALSE
Which famous poet lived in Dove Cottage?,William Wordsworth,FALSE,Who was the captain of Fireball XL5?,Steve Zodiac,FALSE
Who painted a 'Self Portrait with Bandaged Ear'?,Vincent Van Gogh,FALSE,"Who wrote ""The Thorn Birds""?",Colleen McCullough,FALSE
Which comedy writer and actor sang the theme song for One Foot In The Grave?,Eric Idle,FALSE,Which state did George Washington represent in the 1st & 2nd Continental Congresses?,Virginia,FALSE
What is the common name for the gas Nitrous Oxide?,Laughing Gas,FALSE,In what eastern American city would you find Logan Airport?,Boston,FALSE
What device produces the air/petrol mix used in internal combustion engines?,Carburettor,FALSE,The River Wensum runs through which English city?,Norwich,FALSE
Which football club play their home games at Sincil Bank?,Lincoln City,FALSE,Which country does Edam cheese originate from?,Holland/The Netherlands,FALSE
What was Britney Spears's second Number One single?,Born to Make You Happy,FALSE,What note is written in the space below the top line of the treble clef?,E,FALSE
How did the English comic Tony Hancock die?,He Committed Suicide,FALSE,What does fibrin cause the blood to do?,Clot,FALSE
Who was the first American President to resign from office?,Richard Nixon,FALSE,Which fashion item was Imelda Marcos famous for collecting?,Shoes,FALSE
Which Biblical town was destroyed with Gomorrah?,Sodom,FALSE,"The branches of which tree, in medieval times, were commonly used in the making of bows?",Yew Trees,FALSE
Which submarine was the focus of a rescue mission in 2000?,Kursk,FALSE,Which breed of spaniel shares its name with a king?,King Charles,FALSE
"In the nursery rhyme, what did Tom, Tom the piper's son steal?",A Pig,FALSE,What must NOT be shown on television during a religious programme?,Adverts For Alcoholic Drinks,FALSE
Who wrote the book/novel The Color Purple?,Alice Walker,FALSE,Which George did the Prince Regent become?,George IV,FALSE
What type of food is Dill?,A Herb,FALSE,"If a gold item bore the number 375, what carat rating would the article be?",9 Carats,FALSE
In which US City is the headquarters of the International Monetary Fund (IMF)?,Washington D.C.,FALSE,In which Irish city is Queens University?,Belfast,FALSE
"In computer terms, how many bits are there in a byte?",8,FALSE,Name the capital of the Highlands of Scotland?,Inverness,FALSE
How did writer Virginia Woolf die in 1941?,By Drowning,FALSE,Isabelle Dinoire became the first person to have what type of transplant?,Face Transplant,FALSE
What type of clothing are culottes?,Split or Divided Skirts,FALSE,"How many zeros are in a million, when written in digits?",Six,FALSE
What do you dial if you do not want the person you are calling to know your phone number?,141,FALSE,What names were given to the first Russian & American satellites in the conquest of space?,Sputnik 1 & Explorer 1,FALSE
In which county is England's largest forest?,Northumberland,FALSE,What name is given to the sudden and complete loss of memory?,Amnesia,FALSE
Name Henry VIII's three children who succeeded to the throne?,"Edward VI, Mary I & Elizabeth I",FALSE,In which country is Lake Volta?,Ghana,FALSE
"Which common wonder drug is used to combat arthritis, blood clots & heart attacks?",Aspirin,FALSE,Which county cricket club's badge features a Tudor Rose?,Northamptonshire,FALSE
Which New York borough is noted for its skyscraper skyline?,Manhattan,FALSE,What is a hula?,A Hawaiian Dance,FALSE
In which country did the Boxer Rising/Rebellion take place between 1898 & 1900?,China,FALSE,,,FALSE
Which Whitney led the most weeks in the singles chart for 1993?,Houston,FALSE,,,FALSE
Where in the body is the thalamus?,In The Brain,FALSE,,,FALSE
What is the largest flatfish species?,Halibut,FALSE,,,FALSE
What is the coloured part of the eye called?,Iris,FALSE,,,FALSE
"In which town is the shopping complex, the Metro Centre?",Gateshead,FALSE,,,FALSE
What was former prime minster Margaret Thatcher's maiden name?,Roberts,FALSE,,,FALSE
What is the army equivalent of the Royal Navy rank of Admiral of the Fleet?,Field Marshal,FALSE,,,FALSE
"""Rumours"" provided over 400 weeks on the album chart for which band?",Fleetwood Mac,FALSE,,,FALSE
Who won the Baseball World Series in 1994?,No-one. Players Strike.,FALSE,,,FALSE
What was the Kaiser Chief's debut album called?,Employment,FALSE,,,FALSE
What is High Wycombe famous for manufacturing?,Furniture,FALSE,,,FALSE
What arrived in Britain in 1347?,The Black Death,FALSE,,,FALSE
What is the Spanish word for 'navy'? ,Armada,FALSE,,,FALSE
"In the Wild West, for what was Annie Oakley famous for?",Shooting,FALSE,,,FALSE
"Which language does the word ""anorak"" come from?",Eskimo,FALSE,,,FALSE
Which is the home state of former U.S. President Jimmy Carter?,Georgia,FALSE,,,FALSE
Which band were 'Back For Good' in 1995?,Take That,FALSE,,,FALSE
"If a golfer loses a ball, what is the penalty?",One Stroke Added To Score,FALSE,,,FALSE
Which House in England may not be entered by the Queen?,House Of Commons,FALSE,,,FALSE
What is the Muslim equivalent of the Red Cross?,The Red Crescent,FALSE,,,FALSE
Which birds fly in a skein?,Geese or Swans,FALSE,,,FALSE
Where would you find a hardy-hole?,In An Anvil,FALSE,,,FALSE
What instruction on a piece of classical music shows the point where a voice comes in?,Voce,FALSE,,,FALSE
What's the name of the 7th & final Harry Potter book?,H.P & The Deathly Hallows,FALSE,,,FALSE
What can be the name of a hat & a member of a cricket team?,Bowler,FALSE,,,FALSE
Who invented & marketed a vehicle powered by a washing-machine motor?,Clive Sinclair,FALSE,,,FALSE
Which animal's home is called a Drey?,Squirrel,FALSE,,,FALSE
Who was the architect of the British National Health Service (NHS)?,Aneurin Bevan,FALSE,,,FALSE
"In 2002, the Queen lost her mother & which other close relative?",Princess Margaret (Sister),FALSE,,,FALSE
"Which book, by Herman Melville, opens with ""Call me Ishmael""?",Moby Dick,FALSE,,,FALSE
In which Metropolitan county are Trafford & Tameside?,Greater Manchester,FALSE,,,FALSE
Which planet in our solar system has two moons called Phobos & Demos?,Mars,FALSE,,,FALSE
In which source of power were Volta & Ampere pioneers?,Electricity,FALSE,,,FALSE
"If A is alpha & B is bravo, what is F?",Foxtrot (NATO Alphabet),FALSE,,,FALSE
Which monarch died in 1837 leaving Queen Victoria to take the throne?,King William IV,FALSE,,,FALSE
Sweeney Todd operated in which London Street?,Fleet Street,FALSE,,,FALSE
What are the smallest units of local government in rural areas?,Parishes,FALSE,,,FALSE
Which country occupies the Horn of Africa?,Somalia,FALSE,,,FALSE
What do Ombrophobes fear?,Rain,FALSE,,,FALSE
"Blue, red, green & yellow are four Olympic rings, what colour is the fifth?",Black,FALSE,,,FALSE
"Fidelity, Bravery, Integrity is which organisations motto?",FBI,FALSE,,,FALSE
Which author created the comic strip character Dick Tracy?,Chester Gould,FALSE,,,FALSE
What was Walt Disney's middle name?,Elias,FALSE,,,FALSE
"What does the word/board game Ludo, literally, mean?",I Play,FALSE,,,FALSE
An elephant has 400000 what in its trunk?,Muscles,FALSE,,,FALSE
What colour is cerulean?,Deep Blue,FALSE,,,FALSE
"British policemen call them truncheons, what do American cops call them?",Nightsticks,FALSE,,,FALSE
In DC comics Linda Lee Danvers is whose alter ego?,Supergirl,FALSE,,,FALSE
"The world's first stamp is the Penny Black, what was the second one called?",Two Penny Blue,FALSE,,,FALSE
Where could you legally flash your Dong & then spend it?,Vietnam (Their Currency),FALSE,,,FALSE
"The Bald Eagle is America's bird, what is Britain's?",Robin,FALSE,,,FALSE
What wood is plywood mostly made from?,Birch,FALSE,,,FALSE
Percy Shaw invented what in 1934?,Cat's Eyes,FALSE,,,FALSE
"In the Old Testament, who was eaten by dogs?",Jezebel,FALSE,,,FALSE
